Index,ID,SourceName,CODICE_COMMITTENTE,ALIQUOTA_IVA,DATA,P_IVA,UNITAMISURA,IMPORTO_TOTALE_DOCUMENTO,NUMERO,TIPO_DOCUMENTO,RAGIONE_SOCIALE,SEDE_INDIRIZZO_CESSIONARIO,QUANTITA,DESCRIZIONE,IMPONIBILE_IMPORTO,PREZZO_UNITARIO,CATEGORIA
14,14,IT01879020517A2024_a7R94,09247360960,22,2024-01-30,12508910960,,572.2,12,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
15,15,IT01879020517A2024_abftX,09247360960,10,2024-01-02,12508910960,PZ,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",28.0,Panini per hotdog,28.0,1.0,Food
16,16,IT01879020517A2024_abftX,09247360960,10,2024-01-02,12508910960,KG,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",7.3,Pan Briosc,65.7,9.0,Food
17,17,IT01879020517A2024_abftX,09247360960,22,2024-01-02,12508910960,,110.39,4,TD24,Trama di Trapasso Matteo,"VIA ENRICO STENDHAL, 30",1.0,Consegna EUR6,6.0,6.0,Altre Spese
18,18,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,n,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",24.0,"[DdT 20 - 31/01/24]   franciacorta docg brut (l 0,75)",381.6,15.9,Beverage
19,19,IT02136340987_24017,09247360960,22,2024-01-31,02136340987,n,732.0,240017,TD01,Societa agricola Savoldi Srl,"Via Stendhal, 30",12.0,"[DdT 20 - 31/01/24]   franciacorta docg rose (l 0,75)",218.4,18.2,Beverage
22,22,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,SOTTOBICCHIERE LEGNO,14.75,14.75,Attrezzature Sala
23,23,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,SOTTOBICCHIERE LEGNO,12.3,12.3,Attrezzature Sala
24,24,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,PORTA SPUGNE SAPONI,13.03,13.03,Altre Forniture
25,25,IT02355260981_PBwlh,09247360960,10,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,PIANTE VERDI,45.36,45.36,Manutenzione Verde
26,26,IT02355260981_PBwlh,09247360960,22,2024-01-31,05602640962,,117.7,PBwlh,TD01,Bricocenter Italia S.r.l.,VIA STENDHAL 30,1.0,VASO CON RUOTE,15.49,15.49,Manutenzione Verde
28,28,IT04107060966_84v73,09247360960,22,2024-01-03,10542790968,NR,21.96,005-651206,TD01,Nexi Payments SpA,VIA ENRICO STENDHAL 30,1.0,Canone SmartPOS Mini con stampante - DICEMBRE  '23   TID:92430019,18.0,18.0,Software
29,29,IT04157540966_3ek3x,09247360960,22,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL20 BRILLANTE RECOARO VAP,10.56,10.56,Beverage
30,30,IT04157540966_3ek3x,09247360960,22,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,CL20 BRILLANTE RECOARO VAP,10.56,10.56,Beverage
31,31,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food
32,32,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food
33,33,IT04157540966_3ek3x,09247360960,4,2024-01-30,02827030962,,41.84,3ek3x,TD01,METRO Italia S.p.A.,VIA ENRICO STENDHAL,1.0,G750 FOCACCIA CLASSIC 30X40 MC,5.15,5.15,Food
34,34,IT07155170157_vqb04,09247360960,4,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,BAGUETTE 250 G CRF,2.16,0.72,Food
35,35,IT07155170157_vqb04,09247360960,10,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food
36,36,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,SACC RD TRASP 10PZ 70X110 C,4.18,2.09,Altre Forniture
37,37,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SACC RD GIALLI 10PZ 70X110,2.09,2.09,Altre Forniture
38,38,IT07155170157_vqb04,09247360960,4,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE CLAM AQ 500 ML,1.25,1.25,Beverage
39,39,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,PANNO MICROFIBRA 5PZ 30X30,2.7,2.7,Altre Forniture
40,40,IT07155170157_vqb04,09247360960,22,2024-01-08,12683790153,,15.61,5311093,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Altre Forniture
41,41,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,PANE HAMBURGER C/SESAMO CRF,2.48,1.24,Food
42,42,IT07155170157_vs6i0,09247360960,10,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,SALMONE AFFUM.DI SCOZIA 230,16.18,8.09,Food
43,43,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,SONGINO BUSTA GR.70 EURO1,2.88,0.96,Food
44,44,IT07155170157_vs6i0,09247360960,4,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,BAGUETTE 250 G CRF,2.16,0.72,Food
45,45,IT07155170157_vs6i0,09247360960,22,2024-01-09,12683790153,,25.75,5313285,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Altre Forniture
46,46,IT07155170157_vv1g3,09247360960,4,2024-01-10,12683790153,,7.05,5316291,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,SOTTILETTE BURGER CON CHEDD,6.78,2.26,Food
47,47,IT07155170157_w16dq,09247360960,10,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food
48,48,IT07155170157_w16dq,09247360960,10,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,TAV.EXCELLENCE LINDT F.,2.17,2.17,Food
49,49,IT07155170157_w16dq,09247360960,4,2024-01-12,12683790153,,5.99,5321015,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,LATTE CLAM AQ 500 ML,2.5,1.25,Beverage
50,50,IT07155170157_w4nr2,09247360960,4,2024-01-13,12683790153,,23.47,5323542,TD01,GS S.p.A.,VIA STENDHAL 30,13.0,SOTTILETTE BURGER CON CHEDD,22.62,2.26,Food
51,51,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAVOLI BIANCHI CONF.GR.150,1.25,1.25,Food
52,52,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,CAROTE JULIENNE CONF.GR.200,2.5,1.25,Food
53,53,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,BIS CAVOLI BIANCHI/VIOLA CO,1.25,1.25,Food
54,54,IT07155170157_w7kxe,09247360960,4,2024-01-16,12683790153,,7.2,5329385,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHINE JULIENNE G200,1.92,1.92,Food
55,55,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHERO QUADRET.ERIDANIA A,1.9,1.9,Food
56,56,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHERO KG1 CRF,1.26,1.26,Food
57,57,IT07155170157_werfi,09247360960,10,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,MENTA GR.30,0.91,0.91,Food
58,58,IT07155170157_werfi,09247360960,5,2024-01-19,12683790153,,5.48,5337812,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ROSMARINO GR.30,0.95,0.95,Food
59,59,IT07155170157_wgj7b,09247360960,10,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,4.0,HAMBURGER DI SCOTTONA FQC,16.32,4.08,Food
60,60,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SONGINO BUSTA GR.70 EURO1,0.96,0.96,Food
61,61,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,3.0,MIX ESOTICO GR100 CRF,5.34,1.78,Food
62,62,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE INTERO UHT 500 ML CRF,0.74,0.74,Beverage
63,63,IT07155170157_wgj7b,09247360960,4,2024-01-22,12683790153,,28.76,5343250,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,POMOD. GRAPPOLO GR500 CRF B,3.35,3.35,Food
64,64,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,POWERADE MOUNTAIN BLAST PET,0.86,0.86,Beverage
65,65,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAPRINO DELLA LOMBARDIA TDI,2.48,3.55,Food
66,66,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,PHILADELPHIA REGULAR GR250,3.45,3.45,Food
67,67,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CRF PELLICOLA 50M,2.45,2.45,Altre Forniture
68,68,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,ZUCCHINE JULIENNE G200,1.92,1.92,Food
69,69,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAVOLI BIANCHI CONF.GR.150,1.25,1.25,Food
70,70,IT07155170157_wk2r1,09247360960,4,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAROTE GR.500 CRF BIO,1.39,1.39,Food
71,71,IT07155170157_wk2r1,09247360960,22,2024-01-26,12683790153,,15.08,5351866,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,SHOPPER EXPRESS COMPOSTABIL,0.1,0.1,Altre Forniture
72,72,IT07155170157_wlksx,09247360960,4,2024-01-29,12683790153,,1.3,5358377,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,LATTE CLAM AQ 500 ML,1.25,1.25,Beverage
73,73,IT07155170157_wmq6o,09247360960,4,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,1.0,CAROTE JULIENNE CONF.GR.200,1.25,1.25,Food
74,74,IT07155170157_wmq6o,09247360960,4,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,2.0,ZUCCHINE JULIENNE G200,3.84,1.92,Food
75,75,IT07155170157_wmq6o,09247360960,10,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,0.11,PIZZETTE CON MOZZARELLA,1.99,18.09,Food
76,76,IT07155170157_wmq6o,09247360960,10,2024-01-30,12683790153,,10.59,5361015,TD01,GS S.p.A.,VIA STENDHAL 30,0.24,"LASAGNE BOLOGN.2,4KG BA ROS",2.82,11.73,Food
77,77,IT0995751096000lr2_o5ufd,09247360960,22,2024-01-07,09957510960,PZ,19.9,4048205,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,BE PREMIUM,16.31,16.31,Spese Bancarie
78,78,IT0995751096000lrd_b6efq,09247360960,22,2024-01-14,09957510960,KWH,15.38,4069998,TD01,BE CHARGE S.R.L.,VIA STENDHAL,28.47,"Sessione di ricarica in Eni Station - Viale Giulio Cesare, 0042, Novara da 2024-01-14 10:12 a 2024-01-14 10:42 (H000371-2)",21.0,0.737541,Carburante
79,79,IT0995751096000lrd_b6efq,09247360960,22,2024-01-14,09957510960,PZ,15.38,4069998,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-8.4,-8.4,Carburante
80,80,IT0995751096000lrg_szq66,09247360960,22,2024-01-16,09957510960,KWH,19.91,4078337,TD01,BE CHARGE S.R.L.,VIA STENDHAL,36.88,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-16 17:54 a 2024-01-16 21:24 (H000009-3)",27.2,0.737527,Carburante
81,81,IT0995751096000lrg_szq66,09247360960,22,2024-01-16,09957510960,PZ,19.91,4078337,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-10.88,-10.88,Carburante
82,82,IT0995751096000lrt_ob93w,09247360960,22,2024-01-25,09957510960,KWH,12.66,4106952,TD01,BE CHARGE S.R.L.,VIA STENDHAL,23.44,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-25 17:11 a 2024-01-25 21:34 (H000009-3)",17.29,0.737628,Carburante
83,83,IT0995751096000lrt_ob93w,09247360960,22,2024-01-25,09957510960,PZ,12.66,4106952,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-6.92,-6.92,Carburante
84,84,IT0995751096000lrv_br5t1,09247360960,22,2024-01-27,09957510960,KWH,5.8,4110782,TD01,BE CHARGE S.R.L.,VIA STENDHAL,10.75,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-26 23:11 a 2024-01-27 01:18 (H000009-3)",7.93,0.737812,Carburante
85,85,IT0995751096000lrv_br5t1,09247360960,22,2024-01-27,09957510960,PZ,5.8,4110782,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-3.17,-3.17,Carburante
86,86,IT0995751096000ls0_wija3,09247360960,22,2024-01-30,09957510960,KWH,17.71,4123786,TD01,BE CHARGE S.R.L.,VIA STENDHAL,32.79,"Sessione di ricarica in Via Stendhal, 30, Milano da 2024-01-30 16:44 a 2024-01-30 22:59 (H000009-3)",24.19,0.73768,Carburante
87,87,IT0995751096000ls0_wija3,09247360960,22,2024-01-30,09957510960,PZ,17.71,4123786,TD01,BE CHARGE S.R.L.,VIA STENDHAL,1.0,Sconto 40% BE PREMIUM,-9.67,-9.67,Carburante
88,88,IT10938470159_00FH3,09247360960,10,2024-01-12,10938470159,NUMERO,74.75,nrxwr05466,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",1.0,composizione piante miste,67.95455,67.95455,Manutenzione Verde
90,90,IT10938470159_00FHS,09247360960,10,2024-01-31,10938470159,NUMERO,207.4,nrxwr05507,TD01,HOBBY GARDEN DEI NAVIGLI SRL,"VIA STENDHAL ENRICO, 30",1.0,cactus in vaso,188.54546,188.54546,Manutenzione Verde
92,92,IT12549080153_1MSB3,09247360960,22,2024-01-09,12549080153,,675.88,7b4a380a-2,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Canone noleggio,465.0,465.0,Noleggi
93,93,IT12549080153_1MSB3,09247360960,22,2024-01-09,12549080153,,675.88,7b4a380a-2,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Canone assistenza operativa,89.0,89.0,Automezzi
94,94,IT12549080153_1N89A,09247360960,0,2024-01-09,12549080153,,206.0,c749cd86-1,TD01,VOLKSWAGEN LEASING GMBH,VIA STENDHAL ENRICO 30,,Penale risarcimento danni  Servizio Riparazione Danni Sin.N. 230109506 del 17/11/2023Luogo MILANO; MITARGA :  GN644EDOfficina: FRATELLI GIACOMEL SPA,206.0,206.0,Automezzi
95,95,IT01228510416_EK4,09247360960,22,2024-01-17,01228510416,PZ,80.22,IMA0156493,TD24,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,1.0,MACCHINA CAPSULE PROFESSIONAL PLUS BIANCA,65.75,131.5,Caffè
96,96,IT01228510416_W2K,09247360960,22,2024-01-30,01228510416,PZ,272.6,IMA0157422,TD01,Caffe' Pascucci Torrefazione S.p.a.,VIA STENDHAL 30,24.0,CAPS CAFFE' MILD PROFESSIONAL PLUS 25 pz,223.44,9.8,Caffè
98,98,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per la materia energia,620.6,620.6,Energia Elettrica
99,99,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per il trasporto e la gestione del contatore,47.42,47.42,Energia Elettrica
100,100,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Spesa per gli oneri di sistema,94.83,94.83,Energia Elettrica
101,101,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Imposte,25.0,25.0,Energia Elettrica
102,102,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Canone (sconto su canone) - SentiAMOci Easy storno dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,-9.9,-9.9,Energia Elettrica
103,103,IT01378570350_fmmIm,09247360960,22,2024-01-08,06017420487,N.,961.18,1911550011,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Canone - SentiAMOci Easy dicembre 2023  -  Per canone - Competenza *t*DA:01/12/2023 *t*A:31/12/2023,9.9,9.9,Energia Elettrica
104,104,IT01378570350_fq3Vl,00000000nan,0,2024-01-08,06017420487,NR,7.0,1917300136,TD01,ENEGAN S.P.A,VIA ENRICO STENDHAL 30,1.0,Rata,7.0,7.0,Energia Elettrica
106,106,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",3.0,Fusto Monflowers 24Lt PK,208.8,69.6,Beverage
107,107,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Thunderhop 24Lt PK,187.2,93.6,Beverage
108,108,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Negripa 24Lt PK,187.2,93.6,Beverage
109,109,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",1.0,Fusto Skaldfifl 24Lt PK,84.0,84.0,Beverage
110,110,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",6.0,Distillato di birra Beer Soul 70cl,179.4,46.0,Beverage
111,111,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",1.0,COSTO SPEDIZIONE,40.0,40.0,Altre Spese
113,113,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Monflowers 24Lt PK,139.2,69.6,Beverage
114,114,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",3.0,Fusto Thunderhop 24Lt PK,280.8,93.6,Beverage
115,115,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Negripa 24Lt PK,187.2,93.6,Beverage
116,116,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",2.0,Fusto Skaldfifl 24Lt PK,168.0,84.0,Beverage
117,117,IT016417907022024A_00PBQ,09247360960,22,2024-01-19,02223530060,pz,2129.88,SXJRW,TD01,Birrificio Civale srl,"VIA STENDHAL, 30",1.0,Fusto NEIPA 24Lt PK,84.0,84.0,Beverage
120,120,IT016417907022024e_00ZXQ,09247360960,22,2024-01-31,08147330966,pz,910.0,JJTT4,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,3.0,Fusto 20lt Inoki,210.0,70.0,Beverage
121,121,IT016417907022024e_00ZXQ,09247360960,22,2024-01-31,08147330966,pz,910.0,JJTT4,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,3.0,Fusto 20lt Doppia W,195.9,65.3,Beverage
122,122,IT016417907022024e_00ZXQ,09247360960,22,2024-01-31,08147330966,pz,910.0,JJTT4,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,4.0,Fusto 20lt Rubia,224.0,56.0,Beverage
123,123,IT016417907022024e_00ZXQ,09247360960,22,2024-01-31,08147330966,pz,910.0,JJTT4,TD24,BIRRIFICIO GECO S.R.L.,Via Stendhal 30,2.0,Fusto 20lt Marvin,116.0,58.0,Beverage
125,125,IT01885950343_0A8IK,09247360960,10,2024-01-23,01885950343,kg,748.2,0000025323,TD24,ERRE ITALIA SRL UNIPERSONALE,VIA STENDHAL 30,18.4,CULACCIA A META' SV - MARCHIO ESCLUSIVO REGISTRATO,432.4,23.5,Food
126,126,IT01885950343_0A8IK,09247360960,10,2024-01-23,01885950343,kg,748.2,0000025323,TD24,ERRE ITALIA SRL UNIPERSONALE,VIA STENDHAL 30,7.61,COPPA STAG.CLASS.PARMA A META' SV IGP,128.61,16.9,Food
127,127,IT01885950343_0A8IK,09247360960,10,2024-01-23,01885950343,Kg,748.2,0000025323,TD24,ERRE ITALIA SRL UNIPERSONALE,VIA STENDHAL 30,12.16,FIOCCO DI PROSCIUTTO ARROSTO,119.17,9.8,Food
134,134,IT0200275048300000_F70FH,09247360960,22,2024-01-29,06163910968,,280.6,2505,TD01,LR SERRATURE S.N.C.,VIA STENDHAL 30,1.0,Sostituzione chiudiporta Cisa art.C20100390 con fermo a giorno.,230.0,230.0,Manutenzione Generica
135,135,IT02046570426_73lbz,09247360960,22,2024-01-22,02675650028,,65.88,xihxgwxggu,TD01,AXERVE SPA,VIA STENDHAL ENRICO 30,1.0,NOLEGGIO ESERCENTE - Cod. Eser.: 687157 - Cod. Terminale: 02388485,18.0,18.0,Noleggi
